Código,Critério,Keywords,Objetivo,Level,Status,Modificação
DE-UCD-004,User Centered Design,Usability testing,"I can evaluate usability, recognize flaws and problems, and provide recommendations to improve design",Não Iniciado,—,—
DE-UCD-005,User Centered Design,"Design thinking, Human-centric design, Ideation","I can apply Design Thinking to ideate, iterate, and refine components or concepts inside of a CBL exploratory cycle.",Não Iniciado,—,—
DE-UCD-006,User Centered Design,User journey maps,I can create and make best use of User Journey maps. ,Não Iniciado,—,—
DE-UCD-007,User Centered Design,cognitive load,I can design experiences and interfaces that adopt best practices for reducing cognitive load.,Não Iniciado,—,—
PS-AWA-003,Self and Social Awareness,diversity,I can negotiate and balance diverse views and beliefs in order to progress,Não Iniciado,—,—
PS-COL-001,Collaboration,collaborative work,I can demonstrate responsibility for collaborative work,Não Iniciado,—,—
PS-COL-005,Collaboration,building relationships,I can develop successful teamwork through trust and respect,Não Iniciado,—,—
PS-COM-001,Communication,active listening,I can perform active listening,Não Iniciado,—,—
PS-COM-002,Communication,body language,I can demonstrate appropriate verbal tone and body language,Não Iniciado,—,—
PS-COM-003,Communication,thought articulation,I can effectively articulate thoughts and ideas in a variety of forms,Não Iniciado,—,—
PS-COM-007,Communication,presentations,I can create clear and appropriate presentations for different audiences and contexts,Não Iniciado,—,—
PS-INI-001,Initiative,"personal goals, results driven",I can set and manage personal goals.,Não Iniciado,—,—
PS-LEA-001,Learning,Solutions Identification,I can articulate solutions that are supported by my learning.,Não Iniciado,—,—
PS-LEA-003,Learning,Documentation,I can document my learning and use it for continuous improvement.,Não Iniciado,—,—
PS-LEA-004,Learning,Sharing,I share my learning with others for the betterment of the community. ,Não Iniciado,—,—
CD-ID-012,Interface Development,"Group, Section, ForEach, Form, ControlGroup","I can present views in different kinds of purpose-driven containers, like forms or control groups with SwiftUI.",Progressing,Pendente,18/05/2026
CD-ID-001,Interface Development,View; View Modifiers;,I can create a hierarchy of configured views using SwiftUI,Progressing,Pendente,18/05/2026
CD-ID-010,Interface Development,List; Section; listStyle(_:); ,"I can display and stylize a structured, scrollable column of information with SwiftUI",Progressing,Pendente,18/05/2026
CD-ID-004,Interface Development,"HStack, VStack, ZStack, LazyVStack, LazyHStack, LazyVStack, Grid, LazyVGSpacer, Divider, overlay(alignment:content:)",I can arrange views inside built-in layout containers like stacks and grids with SwiftUI,Progressing,Pendente,18/05/2026
CD-ID-003,Interface Development,Image; ContentMode; resizing and fitting images;,I can add images to my user interface and manipulate them using SwiftUI,Progressing,Pendente,18/05/2026
CD-ID-013,Interface Development,"NavigationLink, NavigationStack, NavigationPath, NavigationSplitView, Configuring the sidebar, TabView",I can enable people to move between different parts of my app’s view hierarchy within a scene using SwiftUI,Progressing,Pendente,18/05/2026
