Code,Learning Strand,Goal Short Name,Learning Objective,Learning Objective Keywords,Challenge
MK-BUS-001,Marketing,Business,I can describe the Unique Value Proposition for an app.,Value Proposition,Feeling the wind Design
MK-ENT-004,Marketing,Entrepreneurship,I can identify the best solution focused on sustainable social and economic value creation,sustainable; sustainability,Feeling the wind Design
MK-ENT-005,Marketing,Entrepreneurship,"I can identify key elements for pitch deck and pitch a business idea/project, to attract stakeholder support.",Pitch; Pitch Deck; funding,Flying High App Store
MK-APP-010,Marketing,App Store,I can use app updates to engage with users as an opportunity to engage with users.,app updates,Flying High App Store
MK-APP-004,Marketing,App Store,I can describe and leverage the discovery features of the app store to effectively market apps.,discovery features,Flying High App Store
MK-APP-005,Marketing,App Store,I can write an effective Product Page that help users discover my app through thoughtfully crafted text and metadata.,App Store Product Page; metadata,Flying High App Store
MK-APP-009,Marketing,App Store,"I can prepare an app for a global audience, and help users around the world discover and download my app",Localization; global audience,Flying High App Store
MK-APP-007,Marketing,App Store,I can describe when it is appropriate to offer app bundles and understand how to do it.,App bundles,Flying High App Store
MK-APP-001,Marketing,App Store,I understand how to implement App Store Product Page Optimization to help users find the App,App Store Search Optimization; SEO,Flying High App Store
MK-APP-003,Marketing,App Store,I can explore and compare categories to choose which best describes my app.,categories,Flying High App Store
MK-APP-008,Marketing,App Store,I understand how to efficiently help people discover an app with Apple Search Ads,Apple Search ads,Flying High App Store
MK-APP-006,Marketing,App Store,"I can plan, present, and promote live events in games to help grow business.",live events,Flying High App Store
MK-APP-011,Marketing,App Store,"I can effectively communicate with the press and media through stories, social media posts, product presentations, and promotional materials for my app.",promotional materials; press; media; storytelling; presentation; social media,Flying High App Store
MK-APP-002,Marketing,App Store,I understand how to publish an app as a pre-order.,app store pre-order,Flying High App Store
MK-REV-005,Marketing,Legal and App Review Guidelines,I can describe and effectively follow the App Store Review Guidelines to get an app approved.,app store guidelines; App store review,First Flight TestFlight
MK-REV-006,Marketing,Legal and App Review Guidelines,"I can correctly and effectively use App Store badges, Apple product images, and Apple identity guidelines to effectively promote my app’s availability.",app store guidelines; identity guidelines; badges; produce images,First Flight TestFlight
MK-REV-002,Marketing,Legal and App Review Guidelines,"I can apply the different and most suitable types of intellectual Property Rights licenses to my work, and respect the IP rights of other artists, companies, and developers.",Intellectual property,First Flight TestFlight
MK-REV-007,Marketing,Legal and App Review Guidelines,I can explain the common reasons for app rejections.,app store guidelines; app rejection,First Flight TestFlight
MK-REV-001,Marketing,Legal and App Review Guidelines,I understand all of the legal aspects of user privacy in the App Store Review Guidelines.,Privacy; user data; data storage; data collection; data sharing; permission; tracking; health; research; data mining; kids; children; COPPA; GDPR; location; location services,First Flight TestFlight
MK-REV-003,Marketing,Legal and App Review Guidelines,"I understand Apple’s legal requirements and restrictions concerning sweepstakes, contests, gambling, lotteries, virtual private networks (VPN), and mobile device management (MDM).",Sweepstakes; gaming; contests; gambling; lottery; lotteries; VPN; MDM,First Flight TestFlight
MK-REV-004,Marketing,Legal and App Review Guidelines,I understand and can follow the Apple Developer Program Code of Conduct.,Code of conduct,First Flight TestFlight
MK-PDM-005,Marketing,Product Management,I can create a vision for a product based on user and market research.,market research; user research; product vision,Feeling the wind Design
MK-PDM-006,Marketing,Product Management,I can use TestFlight and the App Store to get feedback on my solution.,Feedback,First Flight TestFlight
MK-PDM-001,Marketing,Product Management,I can advocate for user needs based on user research and feedback.,user advocacy,First Flight TestFlight
MK-PDM-007,Marketing,Product Management,I use the feedback and data collected from users and stakeholders to determine if the solution effectively solved the challenge and to make improvements.,Iteration,First Flight TestFlight
CD-DT-003,Coding,Developer Tools,I can run my App in the Simulator or on a Device,Simulator;,Spreading Wings Swift UI
CD-DT-004,Coding,Developer Tools,I can manage App distribution using Xcode,TestFlight; App Distribution;,First Flight TestFlight
CD-ID-012,Coding,Interface Development,"I can present views in different kinds of purpose-driven containers, like forms or control groups with SwiftUI.",Group; Section; ForEach; Form; ControlGroup,Spreading Wings Swift UI
CD-ID-001,Coding,Interface Development,I can create a hierarchy of configured views using SwiftUI,View; View Modifiers;,Spreading Wings Swift UI
CD-ID-010,Coding,Interface Development,"I can display and stylize a structured, scrollable column of information with SwiftUI",List; Section; listStyle(_:);,Spreading Wings Swift UI
CD-ID-004,Coding,Interface Development,I can arrange views inside built-in layout containers like stacks and grids with SwiftUI,HStack; VStack; ZStack; LazyVStack; LazyHStack; LazyVStack; Grid; LazyVGSpacer; Divider; overlay(alignment:content:),Spreading Wings Swift UI
CD-ID-003,Coding,Interface Development,I can add images to my user interface and manipulate them using SwiftUI,Image; ContentMode; resizing and fitting images;,Spreading Wings Swift UI
CD-ID-013,Coding,Interface Development,I can enable people to move between different parts of my app’s view hierarchy within a scene using SwiftUI,NavigationLink; NavigationStack; NavigationPath; NavigationSplitView; Configuring the sidebar; TabView,Spreading Wings Swift UI
CD-ID-005,Coding,Interface Development,I can display values and get user selections with SwiftUI,Button; Link; Slider; Stepper; Toggle; Picker; DatePicker;,Spreading Wings Swift UI
CD-ID-009,Coding,Interface Development,I can enable people to scroll to content that doesn’t fit in the current display with SwiftUI.,ScrollView; ScrollViewReader; Animating scroll transitions; Disabling scrolling,Spreading Wings Swift UI
CD-ID-002,Coding,Interface Development,I can display formatted text and get text input from the user using SwiftUI,Text; Label; TextField; Font;,Spreading Wings Swift UI
CD-ID-006,Coding,Interface Development,"I can work with simple view state, share it between views, and respond to data changes to maintain a consistent and reactive interface.",State; Binding; onChange(of:initial:_:);,Spreading Wings Swift UI
"CD-ID-014
",Coding,Interface Development,I can manage the items displayed on navigation and toolbars using SwiftUI,toolbar(content:); ToolbarItem;,Spreading Wings Swift UI
CD-ID-015,Coding,Interface Development,I can enable search for text or other content within an app using SwiftUI,searchable(text:placement:prompt:); Making search suggestions; Limiting search scope,Spreading Wings Swift UI
CD-LP-19,Coding,Logic and Programming,I can use Extensions in Swift,Extension; Computed Properties; Methods;,Spreading Wings Swift UI
CD-LP-06,Coding,Logic and Programming,I can use Optional Values in Swift,nil; Forced Unwrapping; Optional Binding;,Spreading Wings Swift UI
CD-LP-01,Coding,Logic and Programming,I can use Variables and Constants in Swift,Constants and Variables; Comments;,Spreading Wings Swift UI
CD-LP-25,Coding,Logic and Programming,I can make responsive apps that update the presentation when underlying data changes.,Observable;,Spreading Wings Swift UI
CD-LP-07,Coding,Logic and Programming,I can use Collection Types in Swift,Arrays; Dictionaries;,Spreading Wings Swift UI
CD-LP-12,Coding,Logic and Programming,I can implement Methods in Swift,Instance Methods;,Spreading Wings Swift UI
CD-LP-22,Coding,Logic and Programming,I can work with Protocols in Swift,Protocol; Delegation;,Spreading Wings Swift UI
CD-LP-16,Coding,Logic and Programming,I can work with Closures in Swift,Closure Expressions; Trailing Closures; Escaping Closures; Autoclosures;,Spreading Wings Swift UI
CD-LP-03,Coding,Logic and Programming,I can use Strings and Characters in Swift,String Literals; Empty String; String Interpolation;,Spreading Wings Swift UI
CD-LP-17,Coding,Logic and Programming,I can perform asynchronous operations,Asynchronous Functions; Asynchronous Sequences; Tasks and Task Groups; Actors;,Spreading Wings Swift UI
CD-LP-21,Coding,Logic and Programming,I can implement Opaque types in Swift,Opaque Type;,Spreading Wings Swift UI
CD-LP-13,Coding,Logic and Programming,I can implement Properties in Swift,Stored Properties;,Spreading Wings Swift UI
CD-LP-20,Coding,Logic and Programming,I can work with Generics in Swift,Generic Functions; Generic Types; Associated Types;,Spreading Wings Swift UI
CD-LP-24,Coding,Logic and Programming,I can use Type Casting in Swift,Checking Type; Downcasting;,Spreading Wings Swift UI
CD-LP-08,Coding,Logic and Programming,I can use Basic Operators in Swift,Basic operators; Assignment Operator; Arithmetic Operators; Range Operators;,Spreading Wings Swift UI
CD-LP-09,Coding,Logic and Programming,I can use Functions in Swift,func; Parameters and return value;,Spreading Wings Swift UI
CD-LP-05,Coding,Logic and Programming,I can use Conditional Statements in Swift,if/else; switch/case; guard; Comparison Operators;,Spreading Wings Swift UI
CD-LP-14,Coding,Logic and Programming,I can use Inheritance in Swift,Base Class; Subclassing;,Spreading Wings Swift UI
CD-LP-23,Coding,Logic and Programming,I can use subscripts in Swift,subscript;,Spreading Wings Swift UI
CD-LP-18,Coding,Logic and Programming,I can handle Errors in Swift,Error; throw; do/catch; try;,Spreading Wings Swift UI
CD-LP-11,Coding,Logic and Programming,I can use Enumeration in Swift,enum;,Spreading Wings Swift UI
CD-LP-04,Coding,Logic and Programming,I can use Control Flow in Swift,for-In; while;,Spreading Wings Swift UI
CD-LP-10,Coding,Logic and Programming,I can implement Structures and Classes in Swift,struct; class;,Spreading Wings Swift UI
CD-LP-15,Coding,Logic and Programming,I can work with Access Control in Swift,public; internal; private; fileprivate;,Spreading Wings Swift UI
CD-LP-02,Coding,Logic and Programming,I can use Numbers and Boolean values in Swift,Int; Double; Numeric Literals; Numeric Type Conversion; Bool;,Spreading Wings Swift UI
CD-LP-26,Coding,Logic and Programming,i can use Automatic Reference Counting in Swift,How ARC Works; ARC in Action; Strong Reference Cycles Between Class Instances; Resolving Strong Reference Cycles Between Class Instances; Strong Reference Cycles for Closures; Resolving Strong Reference Cycles for Closures,Spreading Wings Swift UI
CD-LP-27,Coding,Logic and Programming,I can use Memory Safety in Swift,Understanding Conflicting Access to Memory; Conflicting Access to In-Out Parameters; Conflicting Access to self in Methods; Conflicting Access to Properties,Spreading Wings Swift UI
CD-SD-02,Coding,Persistence,I can define data relationships with enumerations and model classes using SwiftData,Relationship;,Spreading Wings Swift UI
CD-SD-01,Coding,Persistence,I can preserve app’s model data across launches using SwiftData,Model;,Spreading Wings Swift UI
CD-SD-03,Coding,Persistence,I can manage versioned schemas and migrate between specific versions using SwiftData,VersionedSchema; SchemaMigrationPlan;,Spreading Wings Swift UI
CD-SD-04,Coding,Persistence,I can filter and sort persistent data using SwiftData,Query; Predicate,Spreading Wings Swift UI
CD-SD-06,Coding,Persistence,I can  undo and redo SwiftData changes,UndoManager;,Spreading Wings Swift UI
CD-CK-02,Coding,Persistence,I can design and create a CloudKit database,CKDatabase; CKRecord;,First Flight TestFlight
CD-CK-05,Coding,Persistence,I can observe changes in remote records using CloudKit subscriptions,CKQuerySubscription;,First Flight TestFlight
CD-CK-04,Coding,Persistence,"I can create, read, update and delete CloudKit records",CKRecord;,First Flight TestFlight
CD-CK-01,Coding,Persistence,I can enable CloudKit in my App,iCloud; CKContainer;,First Flight TestFlight
CD-CK-06,Coding,Persistence,I can create many-to-one relationship between records using references,CKRecord.Reference;,First Flight TestFlight
CD-CK-03,Coding,Persistence,I can add indexes to record types,Queryable; Sortable; Searchable;,First Flight TestFlight
CD-VC-003,Coding,Version Control,I know how to create and clone projects with Git,init; clone,First Flight TestFlight
